id,fonte,codigo,nome,municipio,rio,bacia,lat,lon,tipo,automatica,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,nivel_cm,vazao_m3s,chuva_1h,chuva_24h,chuva_72h,medido_em,situacao,cor,observacao,url_origem,atualizado_em
SACE_guaiba_23,SACE/SGB,87398750,4 Irmãos Canal Gravataí,4 Irmãos Canal Gravataí,,Bacia do Guaíba,-29.9803,-50.7439,FLUVIOMETRICA,1,,,,195.0,,0.0,0.0,0.0,2026-08-23 21:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=23&s=16&sr=17,2026-08-24 19:45:51
SACE_cai_67,SACE/SGB,,ANA-PC - Picada Café,ANA-PC - Picada Café,,Bacia do Rio Caí,-29.4619,-51.14,FLUVIOMETRICA,1,,,,364.0,,0.0,0.0,0.0,2026-08-24 14:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=67&s=74&sr=75,2026-08-24 19:45:51
ANA_03154011,ANA telemetria,03154011,Aduana Aceguá,Aceguá,,Não catalogada (ANA),-31.8661,-54.1672,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=03154011&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02950104,ANA telemetria,02950104,Aeroporto Capáo Da Canoa,Capão Da Canoa,,Não catalogada (ANA),-29.7661,-50.0383,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02950104&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02956013,ANA telemetria,02956013,Agrop. Cerro Do Coqueiro Uruguaiana,Uruguaiana,,Não catalogada (ANA),-29.7786,-56.5206,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02956013&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_03054028,ANA telemetria,03054028,Agrop. Segredo - Marco Das Águas,Lavras Do Sul,,Não catalogada (ANA),-30.7478,-54.1375,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=03054028&dataInicio=&dataFim=,2026-08-24 19:45:51
SACE_uruguai_28,SACE/SGB,7675000,Alegrete,Alegrete,Ibirapuitã,Bacia do Rio Uruguai,-29.76833,-55.7875,FLUVIOMETRICA,1,750.0,850.0,970.0,791.0,,0.0,0.0,0.0,2026-08-24 15:15:00,Cota de Atenção,gold,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=28&s=177&sr=176,2026-08-24 19:45:51
SACE_uruguai_57,SACE/SGB,7450000,Alto Uruguai,Alto Uruguai,,Bacia do Rio Uruguai,-27.3009,-54.14,FLUVIOMETRICA,1,1700.0,1900.0,2100.0,354.0,,2.2,2.2,7.8,2026-08-06 15:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=57&s=230&sr=229,2026-08-24 19:45:51
SACE_guaiba_25,SACE/SGB,87318000,Arroio Caraá,Arroio Caraá,,Bacia do Guaíba,-29.791,-50.4338,FLUVIOMETRICA,1,,,,144.0,,0.0,0.0,0.0,2026-08-24 15:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=25&s=20&sr=21,2026-08-24 19:45:51
SACE_taquari_11,SACE/SGB,2852004,Auler,Auler,,Bacia do Taquari-Antas,-28.8034,-52.38154,PLUVIOMETRICA,1,,,,,,0.0,0.0,0.2,2026-08-24 16:30:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=taquari&pm=11&s=&sr=11,2026-08-24 19:45:51
