id,nome,municipio,fonte,tipo,lat,lon,rio,bacia,bacia_oficial,area_drenagem_km2,nivel_cm,medido_em,chuva_24h,chuva_72h,vazao_m3s,origem_vazao,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,situacao,cor,observacao
SACE_taquari_8,Passo Tainhas,Passo Tainhas,SACE/SGB,FLUVIOMETRICA,-28.88269,-50.39594,Tainhas,Bacia do Taquari-Antas,,,91.0,2026-08-24 15:45:00,0.0,0.0,,,300.0,500.0,1050.0,Normal,green,
SACE_taquari_54,Passo Carreiro,Passo Carreiro,SACE/SGB,FLUVIOMETRICA,-28.84888,-51.8325,Carreiro,Bacia do Taquari-Antas,,,175.0,2026-08-24 17:30:00,0.0,0.0,,,400.0,500.0,800.0,Normal,green,
SACE_taquari_3,Muçum,Muçum,SACE/SGB,FLUVIOMETRICA,-29.16694,-51.86722,Taquari,Bacia do Taquari-Antas,,,221.0,2026-08-24 17:30:00,0.0,0.0,,,500.0,900.0,1800.0,Normal,green,
SACE_taquari_6,Porto Mariante,Porto Mariante,SACE/SGB,FLUVIOMETRICA,-29.69958,-51.9665,,Bacia do Taquari-Antas,,,363.0,2026-08-24 16:30:00,0.0,0.0,,,700.0,1100.0,1400.0,Normal,green,
SACE_taquari_32,Santa Tereza,Santa Tereza,SACE/SGB,FLUVIOMETRICA,-29.1783,-51.7324,Taquari,Bacia do Taquari-Antas,,,212.0,2026-08-24 16:45:00,0.0,0.0,,,600.0,900.0,1500.0,Normal,green,
SACE_taquari_7,Taquari,Taquari,SACE/SGB,FLUVIOMETRICA,-29.80688,-51.87659,Taquari,Bacia do Taquari-Antas,,,384.0,2026-08-24 16:45:00,0.0,0.0,,,400.0,650.0,850.0,Normal,green,
SACE_taquari_4,Linha José Júlio,Linha José Júlio,SACE/SGB,FLUVIOMETRICA,-29.09807,-51.69956,das Antas,Bacia do Taquari-Antas,,,438.0,2026-08-24 17:30:00,0.0,0.0,,,650.0,1000.0,2450.0,Normal,green,
SACE_taquari_55,Linha Colombo,Linha Colombo,SACE/SGB,FLUVIOMETRICA,-28.9122,-51.9531,Guaporé,Bacia do Taquari-Antas,,,118.0,2026-08-24 12:45:00,0.0,0.0,,,400.0,700.0,1250.0,Normal,green,
SACE_taquari_5,Bom Retiro do Sul,Bom Retiro do Sul,SACE/SGB,FLUVIOMETRICA,-29.60837,-51.9504,Taquari,Bacia do Taquari-Antas,,,453.0,2026-08-24 17:30:00,0.0,0.0,,,900.0,1200.0,1650.0,Normal,green,
SACE_taquari_33,Barra do Fão,Barra do Fão,SACE/SGB,FLUVIOMETRICA,-29.2239,-52.1622,Forqueta,Bacia do Taquari-Antas,,,136.0,2026-08-24 16:45:00,0.0,0.0,,,400.0,600.0,1000.0,Normal,green,
SACE_taquari_2,Encantado,Encantado,SACE/SGB,FLUVIOMETRICA,-29.23519,-51.85507,Taquari,Bacia do Taquari-Antas,,,106.0,2026-08-24 17:30:00,0.0,0.0,,,500.0,900.0,1200.0,Normal,green,
SACE_taquari_1,Estrela,Estrela,SACE/SGB,FLUVIOMETRICA,-29.47349,-51.96281,Taquari,Bacia do Taquari-Antas,,,1292.0,2026-08-24 17:30:00,0.0,0.0,,,1500.0,1700.0,1900.0,Normal,green,
SACE_cai_107,Passo Montenegro,Passo Montenegro,SACE/SGB,FLUVIOMETRICA,-29.70109,-51.4402,Caí,Bacia do Rio Caí,,,211.0,2026-08-24 17:15:00,0.0,0.0,,,300.0,400.0,600.0,Normal,green,
SACE_cai_111,Nova Palmira,Nova Palmira,SACE/SGB,FLUVIOMETRICA,-29.33534,-51.18888,Caí,Bacia do Rio Caí,,,159.0,2026-08-24 17:15:00,0.0,0.0,,,200.0,300.0,470.0,Normal,green,
