id_estacao,nome,municipio,bacia,calculado_em,chuva_24h_mm,chuva_72h_mm,volume_escoado_m3,cn_base,cota_atual_cm,pico_projetado_cm,variacao_cm,tc_horas,instante_pico,horizonte_util_horas,confiavel,origem_projecao,tendencia,classe,motivo,horas_ate_inundacao
SACE_uruguai_56,Porto Mauá,Porto Mauá,Bacia do Rio Uruguai,2026-08-16 09:56:20,25.0,127.0,,75.0,571.0,571.0,0.0,0.25,2026-08-16 05:30:00,0.38,0,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_55,Linha Colombo,Linha Colombo,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.18,15.57,,75.0,193.0,193.0,0.0,4.5,2026-08-16 05:45:00,6.75,1,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_54,Passo Carreiro,Passo Carreiro,Bacia do Taquari-Antas,2026-08-16 09:56:20,1.73,13.71,,75.0,240.5,260.2,19.69999999999999,9.75,2026-08-16 21:07:30,,0,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_32,Santa Tereza,Santa Tereza,Bacia do Taquari-Antas,2026-08-16 09:56:20,3.4,17.0,,75.0,527.0,527.0,0.0,10.0,2026-08-16 05:45:00,15.0,1,estação,recessão (vazante),abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_4,Linha José Júlio,Linha José Júlio,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.23,13.52,,75.0,660.0,660.0,0.0,8.25,2026-08-16 06:30:00,10.31,1,estação,recessão (vazante),atencao,pico atinge a cota de atenção,
SACE_uruguai_58,Passo Mariano Pinto,Passo Mariano Pinto,Bacia do Rio Uruguai,2026-08-16 09:56:20,0.0,0.6,,75.0,500.0,500.1,0.10000000000002274,2.25,2026-08-16 08:52:30,3.38,0,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_3,Muçum,Muçum,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.27,13.86,,75.0,553.0,553.0,0.0,11.75,2026-08-16 06:15:00,17.62,1,estação,recessão (vazante),atencao,pico atinge a cota de atenção,
SACE_guaiba_20,Campo Bom,Campo Bom,Bacia do Guaíba,2026-08-16 09:56:20,2.95,15.58,,75.0,560.0,560.0,0.0,0.25,2026-08-16 06:00:00,0.38,1,estação,estável,atencao,pico atinge a cota de atenção,
SACE_taquari_33,Barra do Fão,Barra do Fão,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.19,15.84,,75.0,202.0,202.0,0.0,2.25,2026-08-16 05:45:00,3.38,1,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_guaiba_53,Passo Tainhas,Passo Tainhas,Bacia do Guaíba,2026-08-16 09:56:20,2.84,17.66,,75.0,143.0,143.0,0.0,2.5,2026-08-16 05:45:00,3.75,1,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_8,Passo Tainhas,Passo Tainhas,Bacia do Taquari-Antas,2026-08-16 09:56:20,0.0,23.0,,75.0,143.0,143.0,0.0,2.0,2026-08-16 05:45:00,3.0,1,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_1,Estrela,Estrela,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.23,13.94,,75.0,1399.0,1451.4,52.40000000000009,15.25,2026-08-17 05:07:30,22.88,1,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_2,Encantado,Encantado,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.25,13.85,,75.0,364.0,364.0,0.0,12.5,2026-08-16 06:15:00,18.75,1,estação,recessão (vazante),abaixo,pico abaixo de todas as cotas oficiais,
SACE_guaiba_18,Passo das Canoas Auxiliar,Passo das Canoas Auxiliar,Bacia do Guaíba,2026-08-16 09:56:20,3.87,15.67,,75.0,413.0,436.7,23.69999999999999,30.75,2026-08-18 04:22:30,23.06,0,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_guaiba_19,São Leopoldo,São Leopoldo,Bacia do Guaíba,2026-08-16 09:56:20,1.2,16.8,,75.0,383.0,383.2,0.19999999999998863,0.25,2026-08-16 06:37:30,0.38,1,estação,estável,atencao,pico atinge a cota de atenção,
